"1-к квартира, 36 м2, 4/10 эт.",2730000,75833.33,36.0,"Горки 5.1 км, Республика Татарстан, Казань, улица Азата Аббасова, 10",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_36_m_410_et._1393521475,10.0,   Вчера 13:20  
"2-к квартира, 43 м2, 5/5 эт.",2750000,63953.49,43.0,"Суконная слобода 1.5 км, ул Красной Позиции, 29",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_43_m_55_et._1008267132,5.0,   Сегодня 08:30  
"1-к квартира, 38 м2, 4/9 эт.",2750000,72368.42,38.0,"Суконная слобода 4.7 км, ул Зур Урам 1",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_38_m_49_et._1378915534,9.0,   Сегодня 07:48  
"1-к квартира, 41 м2, 3/10 эт.",2750000,67073.17,41.0,"Горки 3.3 км, Казань, Республика Татарстан, улица Академика Сахарова, 6",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_41_m_310_et._1558754410,10.0,   Вчера 13:52  
"1-к квартира, 37.8 м2, 3/9 эт.",2770000,73280.42,37.8,"Суконная слобода 5.3 км, ул. 1-я Азинская, ЖК «Новый Горизонт»",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_37.8_m_39_et._1701105149,9.0,   Вчера 18:00  
"1-к квартира, 37 м2, 5/10 эт.",2780000,75135.14,37.0,"Горки 5.1 км, Казань, Республика Татарстан, улица Азата Аббасова, 11",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_37_m_510_et._1111858439,10.0,   Вчера 13:40  
"1-к квартира, 35 м2, 7/9 эт.",2780000,79428.57,35.0,"Горки 3.4 км, Республика Татарстан, Казань, улица Галии Кайбицкой, 2",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_35_m_79_et._1488102359,9.0,   Вчера 11:21  
"2-к квартира, 56 м2, 3/3 эт.",2790000,49821.43,56.0,"Суконная слобода 3 км, Казань, Республика Татарстан, улица Сеченова, 11",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_56_m_33_et._1073380735,3.0,   Вчера 17:43  
"2-к квартира, 53 м2, 3/5 эт.",2790000,52641.51,53.0,"Суконная слобода, Тополевая ул, 2",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_53_m_35_et._1453348588,5.0,   Вчера 15:34  
"1-к квартира, 39 м2, 12/14 эт.",2800000,71794.87,39.0,"Кремлёвская 2.4 км, Республика Татарстан, Казань, микрорайон Адмиралтейская Слобода, Большая улица, 2",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_39_m_1214_et._1334034220,14.0,   Вчера 18:39  
